reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
ec6f8521-5305-4c30-a52b-64d3bc824b88,Janet Bronwin,https://play-lh.googleusercontent.com/a/ACg8ocIziR0FTNc2Ux5k0bo32gBw283f4_B-KJ4VwvJ3pjSZ8zuCBA=mo,Very good app,5,0,11.19.56,2026-01-21 07:27:50,,,11.19.56
5b4390df-1b12-4313-abe9-d34bb43c3afb,Momad Faruk,https://play-lh.googleusercontent.com/a/ACg8ocI_wMUr88DFN9Xui2foRk6E4VgmauXttZb3c58jf0aXnj0nGQ=mo,hdjjdkf,5,0,19.17.34,2026-01-21 07:27:23,,,19.17.34
eaeb3dc2-b269-4fa8-bd3d-9c4f6e0ef14b,Mehtab Ali,https://play-lh.googleusercontent.com/a/ACg8ocL25MymdI0_33LnmeVq0aTHDieX2SZJ6okC7PID3gYwRZDBNK8=mo,𝓝𝓲𝓬𝓮 𝓪𝓹𝓹 𝓼𝓸𝓬𝓲𝓪𝓵 𝓶𝓮𝓭𝓲𝓪 𝓱𝓪𝓻𝓽 𝔀𝓪𝓻𝓴 😘,5,0,20.47.46,2026-01-21 07:26:48,,,20.47.46
8f65597c-5edd-43e1-bbf7-44548ce14ac5,Amit Maurya,https://play-lh.googleusercontent.com/a/ACg8ocJ6v8Hln9aytNsF2jJbfKxqZqyDVFiXc8sNudqTvjMH9db1Rg=mo,No chap raha,1,0,17.11.36,2026-01-21 07:26:47,,,17.11.36
cdc24317-e194-413f-8414-e734ff7d44af,Shivaraja kidiyannanavaru Shivaraja kidiyannanavaru,https://play-lh.googleusercontent.com/a-/ALV-UjW8bdUrQaexR9JWzKUhWUjMd6MJMoAv_ioyfuj1ZQOv7dDo99k,super super and nice app☺️💗💯✅,5,0,20.02.40,2026-01-21 07:26:25,,,20.02.40
fdd29d71-4009-4ce7-9a6f-a3424590761c,Aleksandar Čičić,https://play-lh.googleusercontent.com/a-/ALV-UjWiQX-cl7LTr7TuypqnoCPqjLqIxzzjPpPeJe27mJLlcNWcj48org,"YouTube has become increasingly frustrating to use. The sheer amount of advertising is overwhelming, and the recent introduction of 40-second unskippable ads completely ruins the experience. What was once an enjoyable platform is now something I use only when I absolutely have to. The constant interruptions kill any sense of flow or enjoyment, especially when trying to watch educational or long-form content. Ads are understandable, but this level of intrusion feels excessive and disappointing.",2,1,21.02.35,2026-01-21 07:26:20,,,21.02.35
cd80d1da-e498-4195-a417-4e53d827d03b,Ayesha Khan,https://play-lh.googleusercontent.com/a-/ALV-UjV_gCFNU5CpPJ3spsb_RFJ_Te4nkZM3x7efNYAUpPSIUbJ2ZWCP,best,5,0,18.36.38,2026-01-21 07:25:58,,,18.36.38
f4eb62a0-6f4d-4147-9960-88be250c513d,Bihari Lal,https://play-lh.googleusercontent.com/a/ACg8ocIbrp7MeTK8SS7evQ6t-NcFKAeHLVlhzGCrAAtqbYiaP1O69g=mo,good,5,0,20.26.40,2026-01-21 07:25:45,,,20.26.40
01db32a4-176a-4e71-8174-d94f1706bb95,Adipa Fifii,https://play-lh.googleusercontent.com/a-/ALV-UjWhVNjSrVkgBUrqBsGk3Bs8gjS15V5fZt6V5IhcHxrrr_D5kdQ,Good,5,0,21.02.35,2026-01-21 07:25:43,,,21.02.35
51c26392-6c72-48fc-a724-6005e302a9e3,Hentry 1001,https://play-lh.googleusercontent.com/a/ACg8ocL-NisMMLGxSaRFrivrBUnv0ecHPTzBzwQk80HYS8oAG6KfPQ=mo,Autoscroll for shorts will be helpful,4,0,21.03.36,2026-01-21 07:25:12,,,21.03.36
fc486667-7352-45bd-bce6-08c2ed2578bb,Sahil Raj,https://play-lh.googleusercontent.com/a/ACg8ocIa_ZPswoYzC-19ju2ovRngjQrliAQNoibra0EeeFVd7AiJ7w=mo,Icant open my you tub alwes get msg beta program is full contact devlopar plz do Sam thing for me,1,0,17.34.35,2026-01-21 07:24:19,,,17.34.35
508752de-86db-46fe-aeab-66934add2e43,Sakib HASAN,https://play-lh.googleusercontent.com/a/ACg8ocJYp606LZVcilo3-5ihQ2uA5XI5HrFwrElGtIp38eEk1jCOgA=mo,Nice,5,0,11.45.59,2026-01-21 07:24:17,,,11.45.59
11c64da3-b026-4e22-8bc1-3a79863c0c3a,Gufran Mohd,https://play-lh.googleusercontent.com/a/ACg8ocKHkx_JufddHUAOJpJ3lyp_IRRdFyKurWtWBfuxKwvgmwO6yw=mo,10 sales ka,5,0,13.07.55,2026-01-21 07:23:59,,,13.07.55
133dfd91-03a4-4eaf-bcd4-581eb168ea69,Mohammad Hakimi,https://play-lh.googleusercontent.com/a/ACg8ocJ3nULCBj9M6uTY3lJsM9HtA0q4e6V0xXYyDfNOm4oBG0K9kQ=mo,100/100 defiantly recommended must try again.,5,0,21.02.35,2026-01-21 07:23:48,,,21.02.35
f1779a70-1065-466b-a1b1-228d3e76cea1,Ishfaq naik Ishfaq naik,https://play-lh.googleusercontent.com/a/ACg8ocL-tMH5w3V0DRsMSnCz7ssH8mD7E9Tp_NGxdo5hW-76XG7q1A=mo,YouTube is not working,5,1,20.51.39,2026-01-21 07:22:10,,,20.51.39
c4cb7906-baba-4802-b08e-e55679b48c96,Peter Lambert,https://play-lh.googleusercontent.com/a/ACg8ocKDnNodC5WFG0iK6svCEgWwFCpSxLtKBMVCMY_2bkmmyyXE6w=mo,terrible,1,0,17.07.35,2026-01-21 07:21:08,,,17.07.35
dfd49318-a9f7-4843-965a-bb4eda400908,Ms Mamun,https://play-lh.googleusercontent.com/a/ACg8ocKvpCmOVC6OEizpxKBnPYvq3tAYj6gDBTIi8Mx5dKjvAvAKAw=mo,Good,5,0,20.41.40,2026-01-21 07:20:24,,,20.41.40
b53db555-6282-4390-9b5e-8706b3517ee4,jacob ogolekwu,https://play-lh.googleusercontent.com/a/ACg8ocIv7kKUp1nfGMZMB0g_LVrdXjsaDASpsUiKBMlYhVuPwNUTqg=mo,it is fine but my you Tube is not working,5,0,13.07.55,2026-01-21 07:20:24,,,13.07.55
a47584eb-bb82-4487-b384-2cf8298cd9ae,Mojo Jojo,https://play-lh.googleusercontent.com/a-/ALV-UjVhNOq3D9nSvBu8sIVL46qZpxc6LZcbL-TzB5ryu_yQpoz08qT0,“ابھی Pixabay سے ویڈیوز لے کر ڈالیں، اور نتیجہ بہت زبردست آیا ہے! YouTube کے AI نے بھی بہت اچھا بنا دیا۔” ✅,5,4,21.03.36,2026-01-21 07:19:30,,,21.03.36
bac53724-87de-45f5-8c74-73d4c1929997,Shruthi gowda Shruthi gowda,https://play-lh.googleusercontent.com/a/ACg8ocLxid34UMYv6MNXynSODP5YKzDEUwjS29h3nzIBLeAg-ifUqQ=mo,good,5,0,20.51.39,2026-01-21 07:19:28,,,20.51.39
0f51d09e-ab38-43e8-92e9-902da7623393,Anayah Khan,https://play-lh.googleusercontent.com/a/ACg8ocJcJdFURv4uPYDRSrWmV6A6npNZ_ngsjTxk58ctii6CTV5kFw=mo,no own networks or anything on this 🤔 and if there is any way to make network access it,3,0,21.03.36,2026-01-21 07:19:23,,,21.03.36
d38d8760-9335-49a0-a654-23aea738de98,Dhanraj Tayde,https://play-lh.googleusercontent.com/a/ACg8ocJMECzqNuQUf5VR2VRcsmDLgJO4isXrM4Rfbpj3du4gHqiskg=mo,लविका,5,0,20.51.39,2026-01-21 07:18:38,,,20.51.39
12a8a278-e260-491f-b4f8-930025b75d69,Bontha Shirisha,https://play-lh.googleusercontent.com/a/ACg8ocKclJtLcFcgFCkZoN2mE7KmHABx0NvhzFzPVZEUh7VRi-eAbQ=mo,bad,1,0,13.07.55,2026-01-21 07:18:19,,,13.07.55
85b774cd-034b-4cb5-a125-34a7d8fa3843,Hajar Rich,https://play-lh.googleusercontent.com/a/ACg8ocJLPPxCsHjOrnXYxrt8Is19SZZNb-a-e9bBZCwqrCw04XH6VQ=mo,It's amazing obsessed:),5,0,17.11.34,2026-01-21 07:18:10,,,17.11.34
1ef4d8ae-3bcf-4d68-9882-b025047102e6,اسطوره الجلاد,https://play-lh.googleusercontent.com/a-/ALV-UjVMVfUahRDcfLqMXNhVRVzYft6g0AYgQY0rfP3DminQvjd1MS3I,good app,5,0,21.02.35,2026-01-21 07:17:37,,,21.02.35
1fbe0571-1b74-4fd4-94c0-b1b8b66ecc15,kalpana devi,https://play-lh.googleusercontent.com/a/ACg8ocIrcWJUYkkDv4LsAt66otpLcRunh1f6HZ6jjqK9smftbt6GGQ=mo,YouTube doesn't work on my phone,1,0,20.36.46,2026-01-21 07:16:18,,,20.36.46
7c20d518-6711-4425-b223-8c038e83ce02,Rohit 74wala,https://play-lh.googleusercontent.com/a/ACg8ocKJz6y_4ghKn7CKL6cfyQqtzupxhiMWJKaSu9r9azv0W9QX_w=mo,very useful app and suscru app,5,0,21.02.35,2026-01-21 07:16:06,,,21.02.35
eea928fa-7b50-45df-a347-6f302fd59984,Himanshu Bhatt,https://play-lh.googleusercontent.com/a/ACg8ocJ4sHeE0D9NYmtwbtSMOoh_7QF1NHYhBscmDxXPHoz3VH7vHw=mo,same shorts reapet again and again bc,1,0,21.03.36,2026-01-21 07:15:52,,,21.03.36
5f31913f-883d-4db4-809f-970ab424d3e2,Bikramjit Khakh,https://play-lh.googleusercontent.com/a-/ALV-UjVwApieu1jP8Uiw1jSjyidWaDsKBqnO-6QNiNSTkXRrTop6mYfY,bad,1,0,20.51.39,2026-01-21 07:15:48,,,20.51.39
a25e5f9f-53c4-4b2c-8436-1628dea833b9,Md Sameer (Sameer),https://play-lh.googleusercontent.com/a-/ALV-UjX0MzBuu_AiuGLWB8TjFlCSq6Cikjfu4B69KtGsbyI2FGLPTgA_,👍 amazing,5,0,21.03.36,2026-01-21 07:15:22,,,21.03.36
e2332aef-8356-4515-8f36-d202da0364b3,Shaylaja Mohanan1,https://play-lh.googleusercontent.com/a/ACg8ocI5nPFz3_Wj4-6cCRK9DPTD5dptUydUjLAOGlh7DL4vGSeFbw=mo,Super,5,1,10.37.58,2026-01-21 07:15:18,,,10.37.58
cc0e04b2-bcc7-4e75-9460-5db2fa8e97a1,Soundhri Krishna,https://play-lh.googleusercontent.com/a/ACg8ocLv87kHjyFv518KKaKxg_ExIdk0NsnqVEk_93R00uU9KeoUrw=mo,good,4,0,13.07.55,2026-01-21 07:15:03,,,13.07.55
823edb68-50f5-4086-b015-340932510f81,Rani Bharte,https://play-lh.googleusercontent.com/a-/ALV-UjUKUfYpva0zGcMo7qBjCgLqCIF7TH1FV7730OqxGSLoMVdeqrtG_A,Nice,5,0,20.51.39,2026-01-21 07:14:32,,,20.51.39
42fb700b-6316-4433-8108-9087afb82dec,Sikandar Tadavi,https://play-lh.googleusercontent.com/a/ACg8ocLpgaAfT3fxch_hZL598x4KJ3toScSzKEGSlR9CIW895M2nZg=mo,Good,1,0,19.14.42,2026-01-21 07:14:19,,,19.14.42
b424e1ed-aae2-45a3-99d7-2bc805f863a8,Gopal bharvad Bharvad,https://play-lh.googleusercontent.com/a/ACg8ocLlwpmN2GU2b794fgIfmZfUTFATyvzXbIxPrNci4S8vKb18Zg=mo,very bed app,1,0,20.02.40,2026-01-21 07:14:12,,,20.02.40
5629cc09-c953-4a74-b603-97c5d749ca61,Fatema Akter shukhi,https://play-lh.googleusercontent.com/a-/ALV-UjXEK-HLSSngECHvk_uNsAakPcj7hqEguKcd013pEpe7XO8OOZtj,thanks full our YouTube channel,5,0,21.03.36,2026-01-21 07:14:10,,,21.03.36
cc3dbe38-48cd-4b74-9216-504e921b7b88,Mita Maity,https://play-lh.googleusercontent.com/a/ACg8ocKjXypikqxd1AkgtjPLxcPg3VexU3zojk2hIHXpShoPG9kS6Q=mo,good for app,5,0,21.03.36,2026-01-21 07:13:42,,,21.03.36
9b0b68a3-3a4b-479b-8117-7871042007a2,Kuldeep Kumar,https://play-lh.googleusercontent.com/a/ACg8ocJvoYLpMIp2QxX2E-Ld1WIgH3FLVhWvfS9x2FaaoLAFaiNkNg=mo,Kuldeep kuma,5,0,12.37.59,2026-01-21 07:13:10,,,12.37.59
88145c2e-b86b-469b-acc2-86f738d3d248,Udayakumar v.n.,https://play-lh.googleusercontent.com/a/ACg8ocKq32HcvQTQ_mVKp1SlooFT_Awju0-aC1W3szneWvyMQHsQWA=mo,this app is very good,5,0,20.51.39,2026-01-21 07:13:08,,,20.51.39
56ca956d-64d3-4320-81a3-d96af542a9b4,kanchan roy,https://play-lh.googleusercontent.com/a/ACg8ocJmxZ-D7AQEXxRION-QMScQi4_kl7OOPR-R8YgGMr5eZgaAdA=mo,Good,5,0,21.02.35,2026-01-21 07:13:01,,,21.02.35
57ad5bd2-0b4f-4229-b5c9-6f725dfdd65a,Khushbu Singhaniya,https://play-lh.googleusercontent.com/a/ACg8ocLgOZDNsC0XJfja-7yyzAcFYp1UVRDQqZhR0_eOMvSNqqfKaA=mo,kkkk,3,0,21.02.35,2026-01-21 07:12:44,,,21.02.35
e7f860b9-ff78-442c-ae26-d1e7bb1e3a55,Sultan Ahmed,https://play-lh.googleusercontent.com/a/ACg8ocI1LLfaBvG44d5FZrtYdhLZfvYDVfdomDpzHxYt6ncT63L8gA=mo,Worst app,1,0,21.02.35,2026-01-21 07:12:28,,,21.02.35
41a9b98f-799d-4e47-ba64-7069bfb01c23,Bijay Barua,https://play-lh.googleusercontent.com/a/ACg8ocLYfq-ujFbTzB0WOofwgq3wxGSux4UCVDLUTAPwrYMSq1zr=mo,Nice,5,0,20.51.39,2026-01-21 07:12:28,,,20.51.39
87b3f0ea-46a4-4f46-a4c7-46166ac6fed2,TheGoblinKing1950,https://play-lh.googleusercontent.com/a-/ALV-UjXnkv3MbBtA8Hx0NYl9XcCLsGQecW_sx_xF9HUXsQjYk8c2YeQ,"I started YouTube in 2018, I loved it back then, it used to be perfect. But then last year, (2025) I quit YouTube due to the amount of ads I have been getting. Whats worse it is no longer compatible with my device. Now I am looking for another app just like YouTube but with no ads. Ads are the only thing YouTube has now, I call YouTube ""The King Of Ads"". I don't recommend using YouTube, I wish that YouTube had no ads. I want YouTube to do better.",2,1,13.07.55,2026-01-21 07:12:15,,,13.07.55
e7752f79-3fd8-4303-a9ab-5ee09afed614,Prince Rajput,https://play-lh.googleusercontent.com/a/ACg8ocKo7R4GZqaDhi7rPSuGKRjAaVFwZU55RfEWxQ0pXb7gNQs2NQ=mo,Good,5,0,,2026-01-21 07:11:49,,,
c2f2aee4-b97c-4219-8131-6c28a300fdab,Rahul Panwar,https://play-lh.googleusercontent.com/a-/ALV-UjWFBdHe5VGTV4YEysSaHw4F7_VcE_2esG0V0fi9EqbZvo9Ppe0,that's was niceeeee ♥️,5,0,21.03.36,2026-01-21 07:11:17,,,21.03.36
793cd6a4-290c-451c-8ae0-3afc9e48d05a,Rajesh Agri,https://play-lh.googleusercontent.com/a/ACg8ocKqCxzAqjplqDEJWYryB6SoykMjkz1gFFjGvqV42OAkPSHyiQ=mo,Not open app,1,0,10.37.58,2026-01-21 07:10:55,,,10.37.58
42c733cb-a8e3-4588-a0af-6fc556271cc5,Mariam Mariam,https://play-lh.googleusercontent.com/a-/ALV-UjWW1r9Kgkyv1Wkk3nk9fnzmDZbXw1emgSwWtb2VMnc-fljXOneB9A,best,5,0,21.02.35,2026-01-21 07:10:14,,,21.02.35
3e361196-9024-4ca7-af78-6536a7e11e3d,Kumari Markam,https://play-lh.googleusercontent.com/a/ACg8ocIiRAkZIIxMSh6_Ggn-bsrZclz6cnBaRQ8rwgzense6wJCESQ=mo,good,1,0,21.02.35,2026-01-21 07:09:41,,,21.02.35
0a6bdb26-de0b-4ccb-9d8b-3cbb60956997,Devan S. Warusavitarne,https://play-lh.googleusercontent.com/a-/ALV-UjXLsLBb7CZFGBndBuDMeLoAZglLHafrbrygtmBzIUR4mlOszvL3,Not compatible. Why?,1,0,21.02.35,2026-01-21 07:05:28,,,21.02.35
